version,N,T,density,P,time_mean,time_std,time_min,time_max,velocity_mean,velocity_std,cars_mean,cars_std,time_cv
mpi_blocking,200000,100,0.5,1,0.08368010000000001,0.002795578431499763,0.082341,0.091485,0.8971799,0.002655849328473954,99972.2,285.8071610952613,3.34
mpi_blocking,400000,100,0.5,2,0.09699569999999999,0.019939732780166454,0.083144,0.131966,0.8969715,0.0011375916324508246,200028.9,240.20428805498332,20.56
mpi_blocking,600000,1000,0.5,6,6.2353227,0.22546941693180203,6.056734,6.649904,0.9659397999999999,0.001007812681007767,299826.6,262.7382305218929,3.62
mpi_blocking,800000,100,0.5,4,0.4504239,0.03939122489266417,0.403609,0.508905,0.8971370999999999,0.001219475884687102,399895.6,427.2946420341747,8.75
mpi_blocking,1000000,100,0.3,4,0.6391044,0.20043826435100767,0.407965,0.879941,0.9925115999999999,5.237302104456343e-05,299647.7,361.2647690175951,31.36
mpi_blocking,1000000,100,0.5,4,0.4846158,0.045654524852539104,0.411905,0.576928,0.8969010000000001,0.0006579582897958681,499765.3,294.4494108595726,9.42
mpi_blocking,1000000,100,0.7,4,0.6162207000000001,0.2005419524206289,0.403972,0.836934,0.4259063,0.00037341905265918777,699725.0,187.2514649104508,32.54
mpi_blocking,1200000,100,0.5,1,0.5326565999999999,0.049893833340181194,0.500761,0.63454,0.8964662999999999,0.0011773648589588194,600015.8,887.0139420174419,9.37
mpi_blocking,1200000,100,0.5,2,0.2820065,0.053109287081242004,0.249229,0.394886,0.8961212,0.0006553797542053101,600401.1,427.4000077990956,18.83
mpi_blocking,1200000,100,0.5,4,0.49720909999999996,0.07100745941323501,0.418441,0.599928,0.8964144000000001,0.00043368939217936056,600081.0,292.05631116085493,14.28
mpi_blocking,1200000,100,0.5,6,0.7009910500000001,0.1077842913163895,0.611872,1.075868,0.8961923,0.0006771613428204849,600310.65,297.9862722023941,15.38
mpi_nonblocking,200000,100,0.5,1,0.0800339,0.0004752572285966167,0.07947,0.080945,0.8963807000000001,0.0015908048312446214,100021.8,132.96265139755218,0.59
mpi_nonblocking,400000,100,0.5,2,0.10158910000000002,0.020147666021154906,0.080249,0.12629,0.8972893,0.0013599236130508489,199806.3,338.5003036269764,19.83
mpi_nonblocking,600000,1000,0.5,6,6.463838,0.5384457227264827,6.012891,7.852842,0.965165,0.0014895931584757807,300131.6,452.2883052999689,8.33
mpi_nonblocking,800000,100,0.5,4,0.4721337,0.04700578681881153,0.399016,0.56591,0.8957731000000001,0.0005670556410088689,400466.4,278.4034642185547,9.96
mpi_nonblocking,1000000,100,0.3,4,0.4536912,0.05407889867550518,0.401607,0.559935,0.9925472,3.307163941102227e-05,299896.4,446.7249215742994,11.92
mpi_nonblocking,1000000,100,0.5,4,0.4555637,0.04239957882403499,0.40354,0.523947,0.8982315999999999,0.0010944365572192177,499324.5,580.6515975847952,9.31
mpi_nonblocking,1000000,100,0.7,4,0.4697596,0.05929925384803196,0.394677,0.556933,0.426805,0.0013960078796339246,699267.7,695.226270121229,12.62
mpi_nonblocking,1200000,100,0.5,1,0.49033059999999995,0.017433824296464624,0.482968,0.539826,0.8963767,0.0008204750724089347,600101.5,506.5860133174834,3.56
mpi_nonblocking,1200000,100,0.5,2,0.2530631,0.03254832698704428,0.239286,0.345029,0.8963736000000001,0.0010970841353332519,600345.3,549.3189824177047,12.86
mpi_nonblocking,1200000,100,0.5,4,0.47089099999999995,0.04165472900190592,0.403934,0.523633,0.8968571000000001,0.0006650519528578148,599883.2,275.1164601885162,8.85
mpi_nonblocking,1200000,100,0.5,6,0.7073600499999999,0.140016697373629,0.605493,1.166882,0.89616455,0.0011126499650549288,600172.9,679.5229673512742,19.79
serial,100000,100,0.5,1,0.10763020000000001,0.004734021893579381,0.103651,0.117083,0.8956855000000001,0.002983803212531133,50056.9,176.73611842392515,4.4
serial,500000,100,0.5,1,0.5110135,0.025928441086318026,0.481993,0.541884,0.8962531,0.001434750961742892,250048.5,455.31680057833296,5.07
serial,1000000,100,0.5,1,0.9723263,0.0018129285730859113,0.969889,0.976381,0.896279,0.0008873573750812761,500167.1,440.08470144331176,0.19
