version,N,T,density,P,time_mean,time_std,time_cv,serial_time,speedup,efficiency,velocity_mean,cars_mean
serial,100000,100,0.5,1,0.0239352,0.0064319530263624684,26.87,0.0239352,1.0,100.0,0.8959515,50062.6
serial,500000,100,0.5,1,0.10801730000000001,0.0005145103497501273,0.48,0.10801730000000001,1.0,100.0,0.8962439,250000.2
mpi_blocking,1000000,100,0.5,4,0.0634233,0.0008762885179361075,1.38,0.2161638,3.408,85.21,0.8967238,500161.4
mpi_nonblocking,1000000,100,0.5,4,0.0544493,0.0018508722298179062,3.4,0.2161638,3.97,99.25,0.8964605999999999,500155.4
serial,1000000,100,0.5,1,0.2161638,0.001322440572073722,0.61,0.2161638,1.0,100.0,0.8968602000000001,499952.4
