Algorithm,Version,Iterations,Threads,Avg_Time,Std_Time,Min_Time,Max_Time,Avg_PI,Std_PI
Needles,OMP_Guided,1000000,2,0.016476666666666667,0.007592371588201759,0.010927,0.025129,3.0500718666666664,0.0013007622292458317
Needles,OMP_Guided,1000000,4,0.0053493333333333335,9.130899919139045e-05,0.005254,0.005436,3.0219165466666666,0.02005250944039032
Needles,OMP_Guided,1000000,8,0.004418666666666667,6.450064599159723e-05,0.004345,0.004465,3.049574006666667,0.13808231219958633
Needles,OMP_Guided,10000000,2,0.08872633333333334,0.00014428213102575944,0.088565,0.088843,3.1424614233333332,0.0031562877106234466
Needles,OMP_Guided,10000000,4,0.04933866666666666,0.00013080647282659019,0.049203,0.049464,3.136601106666667,0.025966341823863693
Needles,OMP_Guided,10000000,8,0.04115966666666667,0.0003754388543202915,0.040932,0.041593,3.123327293333334,0.00496768606568831
Needles,OMP_Optimized,1000000,2,0.013442666666666667,5.804595880277386e-05,0.013386,0.013502,3.14205053,0.0
Needles,OMP_Optimized,1000000,4,0.0074006666666666665,0.00038916620271207134,0.007171,0.00785,3.13748621,0.0
Needles,OMP_Optimized,1000000,8,0.0052636666666666665,0.00022683106783095947,0.005024,0.005475,3.13938722,0.0
Needles,OMP_Optimized,10000000,2,0.130208,0.00025872185837303894,0.129915,0.130405,3.1406783600000003,0.0
Needles,OMP_Optimized,10000000,4,0.06892933333333333,0.0013029897671637018,0.067788,0.070349,3.14098664,0.0
Needles,OMP_Optimized,10000000,8,0.045353,0.003608890826833092,0.04246,0.049397,3.14166161,0.0
Needles,OMP_Static,1000000,2,0.016837666666666667,0.007983634907317176,0.011164,0.025967,3.10988305,0.0
Needles,OMP_Static,1000000,4,0.0059440000000000005,7.135825109964538e-05,0.005866,0.006006,3.1265535099999995,0.0
Needles,OMP_Static,1000000,8,0.005709333333333334,5.97689997685537e-05,0.005643,0.005759,3.13563667,0.0
Needles,OMP_Static,10000000,2,0.09186433333333333,0.000294907330077313,0.091535,0.092104,3.13844185,0.0
Needles,OMP_Static,10000000,4,0.055746,0.0004057326706095997,0.055308,0.056109,3.14049047,0.0
Needles,OMP_Static,10000000,8,0.048107333333333335,0.0003409638299487719,0.047715,0.048332,3.14576203,0.0
Needles,Serial,1000000,1,0.024786,0.00016434415109762665,0.024603,0.024921,3.1422134400000004,0.0
Needles,Serial,10000000,1,0.242156,0.0024883574903940176,0.239725,0.244698,3.14181855,0.0
