Algorithm,Version,Iterations,Threads,Serial_Time,Parallel_Time,Speedup,Efficiency_%,Avg_PI,Std_PI
Dartboard,OMP_Basic,1000000,2,0.013494666666666667,0.007029666666666667,1.919673763573427,95.98368817867134,3.1534,0.0
Dartboard,OMP_Basic,1000000,4,0.013494666666666667,0.004415,3.0565496413741036,76.41374103435258,3.1433559999999994,0.0
Dartboard,OMP_Basic,1000000,8,0.013494666666666667,0.004161333333333333,3.2428708747196415,40.535885933995516,3.1476640000000002,0.0
Dartboard,OMP_Dynamic,1000000,2,0.013494666666666667,0.012909333333333333,1.04534187151415,52.2670935757075,3.1476866666666665,0.0008614066016310781
Dartboard,OMP_Dynamic,1000000,4,0.013494666666666667,0.003914,3.4477942428887753,86.19485607221938,3.136804,0.00039741162539621324
Dartboard,OMP_Dynamic,1000000,8,0.013494666666666667,0.003130666666666667,4.310477001703577,53.88096252129472,3.0422813333333334,0.01599897613390734
Dartboard,OMP_Guided,1000000,2,0.013494666666666667,0.012837333333333333,1.0512048192771086,52.560240963855435,3.1346639999999995,0.00031233315546055234
Dartboard,OMP_Guided,1000000,4,0.013494666666666667,0.003963,3.405164437715535,85.12911094288837,3.108886666666667,0.0023156729763363524
Dartboard,OMP_Guided,1000000,8,0.013494666666666667,0.0032483333333333335,4.154335556695742,51.92919445869677,3.1728,0.05181599089084372
Dartboard,OMP_Optimized,1000000,2,0.013494666666666667,0.008234666666666668,1.6387629533678754,81.93814766839377,3.140276,0.0
Dartboard,OMP_Optimized,1000000,4,0.013494666666666667,0.004392333333333334,3.0723229870228423,76.80807467557106,3.1397360000000005,0.0
Dartboard,OMP_Optimized,1000000,8,0.013494666666666667,0.002973,4.539073887207087,56.73842359008858,3.141608,0.0
Dartboard,OMP_Static,1000000,2,0.013494666666666667,0.007687666666666666,1.7553657373281881,87.76828686640941,3.1534,0.0
Dartboard,OMP_Static,1000000,4,0.013494666666666667,0.004350333333333334,3.1019845222588307,77.54961305647076,3.1433559999999994,0.0
Dartboard,OMP_Static,1000000,8,0.013494666666666667,0.004180333333333334,3.228131727932382,40.35164659915477,3.1476640000000002,0.0
Dartboard,OMP_Basic,10000000,2,0.13143833333333332,0.06539733333333334,2.0098423992823355,100.49211996411678,3.1408052000000004,0.0
Dartboard,OMP_Basic,10000000,4,0.13143833333333332,0.040780333333333335,3.2230813872700073,80.57703468175018,3.1338104,0.0
Dartboard,OMP_Basic,10000000,8,0.13143833333333332,0.032827,4.003970308993613,50.04962886242016,3.1604136,0.0
Dartboard,OMP_Dynamic,10000000,2,0.13143833333333332,0.06495466666666666,2.0235394942113474,101.17697471056736,3.1362328,0.0013214973931114408
Dartboard,OMP_Dynamic,10000000,4,0.13143833333333332,0.035138,3.740632174094522,93.51580435236305,3.138470266666667,0.002011954923285621
Dartboard,OMP_Dynamic,10000000,8,0.13143833333333332,0.027947666666666666,4.703016351991222,58.78770439989027,3.1708484,0.00747447118664618
Dartboard,OMP_Guided,10000000,2,0.13143833333333332,0.06473133333333332,2.0305210253663866,101.52605126831932,3.1448674666666663,0.009952195209768236
Dartboard,OMP_Guided,10000000,4,0.13143833333333332,0.03533833333333333,3.7194264962505303,92.98566240626326,3.1386576,0.01890162875944833
Dartboard,OMP_Guided,10000000,8,0.13143833333333332,0.028162333333333334,4.667167729946619,58.339596624332735,3.141803733333333,0.026004288145868033
Dartboard,OMP_Optimized,10000000,2,0.13143833333333332,0.08329133333333334,1.5780553398913049,78.90276699456524,3.1417372,0.0
Dartboard,OMP_Optimized,10000000,4,0.13143833333333332,0.04174166666666667,3.1488520662806945,78.72130165701736,3.1426144,0.0
Dartboard,OMP_Optimized,10000000,8,0.13143833333333332,0.02708366666666667,4.853047962486615,60.663099531082686,3.1409819999999997,0.0
Dartboard,OMP_Static,10000000,2,0.13143833333333332,0.065293,2.0130539772002103,100.65269886001052,3.1408052000000004,0.0
Dartboard,OMP_Static,10000000,4,0.13143833333333332,0.040421000000000006,3.2517338347228746,81.29334586807187,3.1338104,0.0
Dartboard,OMP_Static,10000000,8,0.13143833333333332,0.03559866666666667,3.6922263006105096,46.15282875763137,3.1604136,0.0
Needles,OMP_Basic,1000000,2,0.024786,0.010039000000000001,2.4689710130491083,123.44855065245541,3.10988305,0.0
Needles,OMP_Basic,1000000,4,0.024786,0.006626666666666667,3.740342052313883,93.50855130784707,3.1265535099999995,0.0
Needles,OMP_Basic,1000000,8,0.024786,0.0057143333333333325,4.337513854051217,54.218923175640214,3.13563667,0.0
Needles,OMP_Dynamic,1000000,2,0.024786,0.013430999999999998,1.8454322090685729,92.27161045342865,3.1237457166666664,0.0006635777728597271
Needles,OMP_Dynamic,1000000,4,0.024786,0.0052573333333333335,4.714557443570885,117.86393608927213,3.18388073,0.004305223970283183
Needles,OMP_Dynamic,1000000,8,0.024786,0.004518333333333333,5.485651051272593,68.57063814090742,3.1948849366666665,0.09646277078757182
Needles,OMP_Guided,1000000,2,0.024786,0.016476666666666667,1.5043091240137567,75.21545620068784,3.0500718666666664,0.0013007622292458317
Needles,OMP_Guided,1000000,4,0.024786,0.0053493333333333335,4.633474576271186,115.83686440677965,3.0219165466666666,0.02005250944039032
Needles,OMP_Guided,1000000,8,0.024786,0.004418666666666667,5.609384429692214,70.11730537115267,3.049574006666667,0.13808231219958633
Needles,OMP_Optimized,1000000,2,0.024786,0.013442666666666667,1.8438305891688156,92.19152945844078,3.14205053,0.0
Needles,OMP_Optimized,1000000,4,0.024786,0.0074006666666666665,3.349157733537519,83.72894333843797,3.13748621,0.0
